timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1538547954976,3,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
1538547954980,0,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
1538547954980,1,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
1538547954981,0,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
1538547954981,1,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
1538547954982,1,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
1538547954983,0,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
1538547954983,1,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
1538547954984,1,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
1538547954985,0,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
1538547954985,1,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
1538547954986,0,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
1538547954986,1,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
1538547954987,0,BeanShell Sampler - Attribute Save Article,200,OK,Pre-loaded Data for Run Thread Group 1-1,text,true,,0,1,1,0,0
